name;path;securitygroup;distributiongroup
2023;OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
5A;OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
4A;OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
PSSI;OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
GPP;OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
CPS;OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
ASI;OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
PSSI;OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
GPP;OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
CPS;OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
ASI;OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;false;false
2023_5PSSI1;OU=PSSI,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5PSSI2;OU=PSSI,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5GPP1;OU=GPP,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5GPP2;OU=GPP,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5CPS1;OU=CPS,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5CPS2;OU=CPS,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5ASI1;OU=ASI,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_5ASI2;OU=ASI,OU=5A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4PSSI1;OU=PSSI,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4PSSI2;OU=PSSI,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4GPP1;OU=GPP,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4GPP2;OU=GPP,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4CPS1;OU=CPS,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4CPS2;OU=CPS,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4ASI1;OU=ASI,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
2023_4ASI2;OU=ASI,OU=4A,OU=2023,OU=ETUDIANTS,OU=BIODEVOPS,DC=biodevops,DC=infra;true;true
